id,key,value,type
323231303,power,Tower,regular
323231348,power,Tower,regular
323231452,power,Tower,regular
323231471,power,Tower,regular
323231485,power,Tower,regular
323231500,power,Tower,regular
323231731,power,Tower,regular
323231882,power,Tower,regular
323231886,power,Tower,regular
323231896,power,Tower,regular
323231909,power,Tower,regular
323232065,power,Tower,regular
323232072,power,Tower,regular
323232073,power,Tower,regular
323232086,power,Tower,regular
324996931,power,Tower,regular
324997024,power,Tower,regular
324997074,power,Tower,regular
324997133,power,Tower,regular
324997270,power,Tower,regular
324997433,power,Tower,regular
324997597,power,Tower,regular
324997737,power,Tower,regular
324998021,power,Tower,regular
324998030,power,Tower,regular
324998229,power,Tower,regular
324998290,power,Tower,regular
324998648,power,Tower,regular
324998754,power,Tower,regular
324998762,power,Tower,regular
324999279,power,Tower,regular
324999365,power,Tower,regular
324999441,power,Tower,regular
324999560,power,Tower,regular
324999658,power,Tower,regular
324999791,power,Tower,regular
324999857,power,Tower,regular
324999945,power,Tower,regular
325000062,power,Tower,regular
325000246,power,Tower,regular
325000332,power,Tower,regular
325000449,power,Tower,regular
325000590,power,Tower,regular
325000768,power,Tower,regular
325000790,power,Tower,regular
325001110,power,Tower,regular
325001339,power,Tower,regular
325003233,power,Tower,regular
325004347,power,Tower,regular
325004581,power,Tower,regular
325004758,power,Tower,regular
325004789,power,Tower,regular
325005017,power,Tower,regular
325005262,power,Tower,regular
325005569,power,Tower,regular
325005605,power,Tower,regular
325006121,power,Tower,regular
325006190,power,Tower,regular
325006241,power,Tower,regular
325006375,power,Tower,regular
325006533,power,Tower,regular
325006730,power,Tower,regular
325006872,power,Tower,regular
325032758,power,Tower,regular
325033067,power,Tower,regular
325033094,power,Tower,regular
325033676,power,Tower,regular
325033880,power,Tower,regular
325033944,power,Tower,regular
325034066,power,Tower,regular
325034078,power,Tower,regular
325034199,power,Tower,regular
325034578,power,Tower,regular
325034758,power,Tower,regular
325034863,power,Tower,regular
325035031,power,Tower,regular
325035334,power,Tower,regular
325035360,power,Tower,regular
325037182,power,Tower,regular
325037812,power,Tower,regular
325037893,power,Tower,regular
325037927,power,Tower,regular
325038318,power,Tower,regular
325038336,power,Tower,regular
325038597,power,Tower,regular
325038711,power,Tower,regular
325038730,power,Tower,regular
325038798,power,Tower,regular
325039276,power,Tower,regular
325039362,power,Tower,regular
325039475,power,Tower,regular
325039881,power,Tower,regular
325039999,power,Tower,regular
325040028,power,Tower,regular
325040198,power,Tower,regular
325040277,power,Tower,regular
325040304,power,Tower,regular
325040330,power,Tower,regular
325040351,power,Tower,regular
325040459,power,Tower,regular
325040711,power,Tower,regular
325040721,power,Tower,regular
325040949,power,Tower,regular
325041064,power,Tower,regular
325041122,power,Tower,regular
325041240,power,Tower,regular
325041291,power,Tower,regular
325041345,power,Tower,regular
325041745,power,Tower,regular
325042542,power,Tower,regular
325042567,power,Tower,regular
325043132,power,Tower,regular
325045485,power,Tower,regular
325045511,power,Tower,regular
325045530,power,Tower,regular
325045883,power,Tower,regular
325045894,power,Tower,regular
325046704,power,Tower,regular
325046720,power,Tower,regular
325046785,power,Tower,regular
325046886,power,Tower,regular
325047057,power,Tower,regular
325047159,power,Tower,regular
325047282,power,Tower,regular
325047424,power,Tower,regular
325047659,power,Tower,regular
325047674,power,Tower,regular
325048471,power,Tower,regular
325048497,power,Tower,regular
325048749,power,Tower,regular
325048827,power,Tower,regular
325048892,power,Tower,regular
325049376,power,Tower,regular
325050146,power,Tower,regular
325050278,power,Tower,regular
325050416,power,Tower,regular
325050471,power,Tower,regular
325050658,power,Tower,regular
325052156,power,Tower,regular
325052661,power,Tower,regular
325052685,power,Tower,regular
325053010,power,Tower,regular
325053069,power,Tower,regular
325053697,power,Tower,regular
325053932,power,Tower,regular
325054123,power,Tower,regular
325054177,power,Tower,regular
325056519,power,Tower,regular
325056648,power,Tower,regular
325056804,power,Tower,regular
325057463,power,Tower,regular
325057698,power,Tower,regular
325057973,power,Tower,regular
325063838,power,Tower,regular
325063918,power,Tower,regular
325064478,power,Tower,regular
325064528,power,Tower,regular
325064558,power,Tower,regular
325064819,power,Tower,regular
325064979,power,Tower,regular
325064998,power,Tower,regular
325065031,power,Tower,regular
325065038,power,Tower,regular
325065835,power,Tower,regular
325065905,power,Tower,regular
325066345,power,Tower,regular
325066489,power,Tower,regular
325066543,power,Tower,regular
325066558,power,Tower,regular
325066579,power,Tower,regular
325066854,power,Tower,regular
325066871,power,Tower,regular
325066882,power,Tower,regular
325066918,power,Tower,regular
325066930,power,Tower,regular
325067943,power,Tower,regular
325068676,power,Tower,regular
325068792,power,Tower,regular
325069624,power,Tower,regular
325069639,power,Tower,regular
325069786,power,Tower,regular
325069803,power,Tower,regular
325071491,power,Tower,regular
325072192,power,Tower,regular
325073887,power,Tower,regular
325073930,power,Tower,regular
325074052,power,Tower,regular
325074324,power,Tower,regular
325074451,power,Tower,regular
325074705,power,Tower,regular
325074877,power,Tower,regular
325074935,power,Tower,regular
325074948,power,Tower,regular
325075251,power,Tower,regular
325075298,power,Tower,regular
325075437,power,Tower,regular
325075559,power,Tower,regular
325075684,power,Tower,regular
325075752,power,Tower,regular
325076226,power,Tower,regular
325076714,power,Tower,regular
325077048,power,Tower,regular
325077067,power,Tower,regular
325077129,power,Tower,regular
325077142,power,Tower,regular
325077212,power,Tower,regular
325077326,power,Tower,regular
325077696,power,Tower,regular
325077878,power,Tower,regular
325079649,power,Tower,regular
325080918,power,Tower,regular
325081383,power,Tower,regular
325081461,power,Tower,regular
325081631,power,Tower,regular
325081942,power,Tower,regular
325082226,power,Tower,regular
325082319,power,Tower,regular
325082463,power,Tower,regular
325082723,power,Tower,regular
325082819,power,Tower,regular
325082902,power,Tower,regular
325082970,power,Tower,regular
325083153,power,Tower,regular
